id,label
0000219778122723066859323624505982384475,0
0000920560142346477464477964040846645823,1
0002106775361063830068199242310438122126,1
0002161736146841817059430282255903999813,0
0002303832386140303186933286284938192307,0
0002553620480880997121046637619235806844,1
0002608282703468728024151632927238685508,0
0002702374809578319833535074914805717231,1
0003336958442544225770897539070694162542,1
0004094185938379944654899776200689538161,1
0004834643343422334265279686812789918886,1
0004838159274153732171837025881768998545,1
0005710351266907475404357669365512161950,1
0005731245209014028904506007471125461991,1
0006202054516772726507757301997348410908,1
0006604959563839972738473740549792796716,0
0006624666852235035366185726371244198346,1
0007275419308112032308736619327345659654,1
0007905901640099742559355652549406948849,1
0007928643040036444473241914244412666900,1
0008526300893302268974405676754557644354,0
0008842717740029506188181450822392542629,1
0009239308060656074314149803236669844937,1
0010778910295907399081565870798824267225,0
0011437372574689613052782858722638735830,1
0011670562646689010236113088522411394800,0
0012308057301209264512381584763429928300,0
0012422965816671576374856642798894680791,0
0012584120526793949436234961871975627363,1
0012632038764468894178876851074878163818,0
0012990492790943856579089520128585895777,0
0013756347600060659756373938397186477368,0
0013997027102009749811001158358286057563,1
0014146408322809948913791911945924347007,1
0014885951192530708691108430914541467996,1
0014939320251736434666976566966148350380,1
0015028156640264037249275771686097933388,1
0016509042666873637335617601287980793780,0
0017168139748132346801806168111906092978,1
0017242292211507345150838867251396440475,1
0017385141969267961046618861844121807020,0
0017905761910422811781768099083497555241,1
0018368100165545466294437206062568763566,0
0019208066266508021858286193508517662107,1
0020436026927591948899285091277601715545,1
0020882877722335632022744665532546874104,0
0021302091384145928809761101311661532340,1
0022506812708348197814372250370070888195,0
0023019369965035880341641116072835830462,1
0023081956559018297738505849805505970846,1
0023605695278905886980542038897189368435,1
0024333172211087339938799000646808963231,1
0024428856662794567817063473639572326043,1
0025888071076350009407980333989971192990,1
0026087899828223049047425035316239095107,1
0026104127537718132214470054131851003602,1
0026733458099205233284368035789079992300,1
0026847746358400517465491553665773934187,1
0027399273953663921016571886252737902219,0
